stkcd,stock,name,year,is_crawled
430004,绿创环保,北京绿创环保设备股份有限公司,2013,0.0
430004,绿创环保,北京绿创环保设备股份有限公司,2014,0.0
430004,绿创环保,北京绿创环保设备股份有限公司,2015,0.0
430004,绿创环保,北京绿创环保设备股份有限公司,2016,0.0
430010,现代农装,现代农装科技股份有限公司,2013,0.0
430010,现代农装,现代农装科技股份有限公司,2014,0.0
430010,现代农装,现代农装科技股份有限公司,2015,0.0
430014,恒业世纪,北京恒业世纪科技股份有限公司,2014,0.0
430014,恒业世纪,北京恒业世纪科技股份有限公司,2015,0.0
430014,恒业世纪,北京恒业世纪科技股份有限公司,2016,0.0
430015,盖特佳,北京盖特佳信息科技股份有限公司,2013,0.0
430015,盖特佳,北京盖特佳信息科技股份有限公司,2014,1.0
430015,盖特佳,北京盖特佳信息科技股份有限公司,2015,1.0
430016,胜龙科技,北京胜龙科技股份有限公司,2014,0.0
430016,胜龙科技,北京胜龙科技股份有限公司,2015,0.0
430016,胜龙科技,北京胜龙科技股份有限公司,2016,0.0
430017,星昊医药,北京星昊医药股份有限公司,2014,1.0
430017,星昊医药,北京星昊医药股份有限公司,2015,0.0
430017,星昊医药,北京星昊医药股份有限公司,2016,0.0
430020,建工华创,北京建工华创科技发展股份有限公司,2013,1.0
430020,建工华创,北京建工华创科技发展股份有限公司,2014,0.0
430020,建工华创,北京建工华创科技发展股份有限公司,2015,0.0
430021,海鑫科金,北京海鑫科金高科技股份有限公司,2014,0.0
430021,海鑫科金,北京海鑫科金高科技股份有限公司,2015,0.0
430021,海鑫科金,北京海鑫科金高科技股份有限公司,2016,0.0
430024,金和网络,北京金和网络股份有限公司,2014,0.0
430024,金和网络,北京金和网络股份有限公司,2015,0.0
430024,金和网络,北京金和网络股份有限公司,2016,0.0
430027,北科光大,北京北科光大信息技术股份有限公司,2014,0.0
430027,北科光大,北京北科光大信息技术股份有限公司,2015,0.0
430027,北科光大,北京北科光大信息技术股份有限公司,2016,0.0
430029,金泰得,北京金泰得生物科技股份有限公司,2013,0.0
430029,金泰得,北京金泰得生物科技股份有限公司,2014,0.0
430029,金泰得,北京金泰得生物科技股份有限公司,2015,0.0
430032,凯英信业,北京凯英信业科技股份有限公司,2014,0.0
430032,凯英信业,北京凯英信业科技股份有限公司,2015,0.0
430032,凯英信业,北京凯英信业科技股份有限公司,2016,0.0
430033,彩讯科技,北京彩讯科技股份有限公司,2013,0.0
430033,彩讯科技,北京彩讯科技股份有限公司,2014,0.0
430033,彩讯科技,北京彩讯科技股份有限公司,2015,0.0
430036,鼎普科技,鼎普科技,2014,1.0
430036,鼎普科技,鼎普科技,2015,0.0
430036,鼎普科技,鼎普科技,2016,0.0
430037,联飞翔,北京联飞翔科技股份有限公司,2012,0.0
430037,联飞翔,北京联飞翔科技股份有限公司,2013,0.0
430037,联飞翔,北京联飞翔科技股份有限公司,2014,0.0
430037,联飞翔,北京联飞翔科技股份有限公司,2015,0.0
430037,联飞翔,北京联飞翔科技股份有限公司,2016,0.0
430038,信维科技,北京信维科技股份有限公司,2012,0.0
430038,信维科技,北京信维科技股份有限公司,2013,1.0
430038,信维科技,北京信维科技股份有限公司,2014,0.0
430038,信维科技,北京信维科技股份有限公司,2015,0.0
430038,信维科技,北京信维科技股份有限公司,2016,0.0
430039,华高世纪,北京华高世纪科技股份有限公司,2015,0.0
430042,科瑞讯,北京市科瑞讯科技发展股份有限公司,2014,0.0
430042,科瑞讯,北京市科瑞讯科技发展股份有限公司,2015,0.0
430042,科瑞讯,北京市科瑞讯科技发展股份有限公司,2016,0.0
430046,圣博润,北京圣博润高新技术股份有限公司,2014,0.0
430046,圣博润,北京圣博润高新技术股份有限公司,2015,0.0
430046,圣博润,北京圣博润高新技术股份有限公司,2016,0.0
430047,诺思兰德,北京诺思兰德生物技术股份有限公司,2013,0.0
430047,诺思兰德,北京诺思兰德生物技术股份有限公司,2014,0.0
430047,诺思兰德,北京诺思兰德生物技术股份有限公司,2015,0.0
430051,九恒星,北京九恒星科技股份有限公司,2013,0.0
430051,九恒星,北京九恒星科技股份有限公司,2014,0.0
430051,九恒星,北京九恒星科技股份有限公司,2015,1.0
430051,九恒星,北京九恒星科技股份有限公司,2016,0.0
430052,斯福泰克,北京斯福泰克科技股份有限公司,2015,0.0
430053,国学时代,北京国学时代文化传播股份有限公司,2015,0.0
430054,超毅网络,拉萨经济技术开发区超毅世纪网络技术股份有限公司,2012,0.0
430054,超毅网络,拉萨经济技术开发区超毅世纪网络技术股份有限公司,2013,0.0
430054,超毅网络,拉萨经济技术开发区超毅世纪网络技术股份有限公司,2014,0.0
430054,超毅网络,拉萨经济技术开发区超毅世纪网络技术股份有限公司,2015,0.0
430054,超毅网络,拉萨经济技术开发区超毅世纪网络技术股份有限公司,2016,1.0
430055,达通数据,中电达通数据技术股份有限公司,2014,0.0
430055,达通数据,中电达通数据技术股份有限公司,2015,0.0
430055,达通数据,中电达通数据技术股份有限公司,2016,0.0
430058,意诚信通,北京意诚信通智能卡股份有限公司,2015,0.0
430060,永邦科技,北京北方永邦科技股份有限公司,2014,0.0
430060,永邦科技,北京北方永邦科技股份有限公司,2015,0.0
430060,永邦科技,北京北方永邦科技股份有限公司,2016,0.0
430062,中科国信,北京中科国信科技股份有限公司,2013,0.0
430062,中科国信,北京中科国信科技股份有限公司,2014,0.0
430062,中科国信,北京中科国信科技股份有限公司,2015,0.0
430062,中科国信,北京中科国信科技股份有限公司,2016,0.0
430065,中海阳,中海阳能源集团股份有限公司,2012,1.0
430065,中海阳,中海阳能源集团股份有限公司,2013,0.0
430065,中海阳,中海阳能源集团股份有限公司,2014,0.0
430065,中海阳,中海阳能源集团股份有限公司,2015,0.0
430067,维信通,北京维信通科技股份有限公司,2014,0.0
430067,维信通,北京维信通科技股份有限公司,2015,0.0
430067,维信通,北京维信通科技股份有限公司,2016,0.0
430068,纬纶环保,北京纬纶华业环保科技股份有限公司,2014,0.0
430068,纬纶环保,北京纬纶华业环保科技股份有限公司,2015,0.0
430068,纬纶环保,北京纬纶华业环保科技股份有限公司,2016,0.0
430069,天助畅运,北京天助畅运医疗技术股份有限公司,2014,0.0
430069,天助畅运,北京天助畅运医疗技术股份有限公司,2015,0.0
430069,天助畅运,北京天助畅运医疗技术股份有限公司,2016,0.0
430070,赛亿智能,北京太一云技术股份有限公司,2015,0.0
430071,首都在线,北京首都在线科技股份有限公司,2012,0.0
430071,首都在线,北京首都在线科技股份有限公司,2013,1.0
430071,首都在线,北京首都在线科技股份有限公司,2014,0.0
430071,首都在线,北京首都在线科技股份有限公司,2015,0.0
430071,首都在线,北京首都在线科技股份有限公司,2016,0.0
430074,德鑫物联,北京德鑫泉物联网科技股份有限公司,2013,0.0
430074,德鑫物联,北京德鑫泉物联网科技股份有限公司,2014,0.0
430074,德鑫物联,北京德鑫泉物联网科技股份有限公司,2015,1.0
430074,德鑫物联,北京德鑫泉物联网科技股份有限公司,2016,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2012,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2013,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2014,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2015,0.0
430075,中讯四方,北京中讯四方科技股份有限公司,2016,0.0
430076,国基科技,北京国基科技股份有限公司,2014,0.0
430076,国基科技,北京国基科技股份有限公司,2015,0.0
430076,国基科技,北京国基科技股份有限公司,2016,0.0
430077,道隆软件,北京道隆华尔软件股份有限公司,2014,0.0
430077,道隆软件,北京道隆华尔软件股份有限公司,2015,0.0
430077,道隆软件,北京道隆华尔软件股份有限公司,2016,0.0
430078,君德同创,北京君德同创农牧科技股份有限公司,2014,0.0
430078,君德同创,北京君德同创农牧科技股份有限公司,2015,1.0
430078,君德同创,北京君德同创农牧科技股份有限公司,2016,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2012,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2013,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2014,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2015,0.0
430080,尚水股份,北京尚水信息技术股份有限公司,2016,1.0
430081,五八汽车,北京五八汽车科技股份有限公司,2014,0.0
430081,五八汽车,北京五八汽车科技股份有限公司,2015,0.0
430081,五八汽车,北京五八汽车科技股份有限公司,2016,1.0
430082,博雅科技,北京博雅英杰科技股份有限公司,2014,0.0
430082,博雅科技,北京博雅英杰科技股份有限公司,2015,0.0
430082,博雅科技,北京博雅英杰科技股份有限公司,2016,0.0
430083,中科联众,北京中科联众科技股份有限公司,2014,0.0
430083,中科联众,北京中科联众科技股份有限公司,2015,0.0
430083,中科联众,北京中科联众科技股份有限公司,2016,0.0
430084,星和众工,北京星和众工设备技术股份有限公司,2012,0.0
430084,星和众工,北京星和众工设备技术股份有限公司,2013,0.0
430084,星和众工,北京星和众工设备技术股份有限公司,2014,1.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2012,0.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2013,0.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2014,0.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2015,0.0
430085,新锐英诚,新锐英诚(北京)科技股份有限公司,2016,0.0
430087,富电绿能,北京富电绿能科技股份有限公司,2014,0.0
430087,富电绿能,北京富电绿能科技股份有限公司,2015,0.0
430087,富电绿能,北京富电绿能科技股份有限公司,2016,0.0
430088,七维航测,北京七维航测科技股份有限公司,2013,0.0
430088,七维航测,北京七维航测科技股份有限公司,2014,0.0
430088,七维航测,北京七维航测科技股份有限公司,2015,0.0
430088,七维航测,北京七维航测科技股份有限公司,2016,0.0
430090,同辉信息,同辉佳视(北京)信息技术股份有限公司,2013,0.0
430090,同辉信息,同辉佳视(北京)信息技术股份有限公司,2014,0.0
430090,同辉信息,同辉佳视(北京)信息技术股份有限公司,2015,1.0
430090,同辉信息,同辉佳视(北京)信息技术股份有限公司,2016,0.0
430091,东方生态,北京东方润泽生态科技股份有限公司,2013,0.0
430091,东方生态,北京东方润泽生态科技股份有限公司,2014,0.0
430091,东方生态,北京东方润泽生态科技股份有限公司,2015,0.0
430091,东方生态,北京东方润泽生态科技股份有限公司,2016,0.0
430092,金刚游戏,北京金刚游戏科技股份有限公司,2013,0.0
430092,金刚游戏,北京金刚游戏科技股份有限公司,2014,0.0
430092,金刚游戏,北京金刚游戏科技股份有限公司,2015,0.0
430092,金刚游戏,北京金刚游戏科技股份有限公司,2016,0.0
430093,掌上通,北京掌上通网络技术股份有限公司,2012,0.0
430093,掌上通,北京掌上通网络技术股份有限公司,2013,0.0
430093,掌上通,北京掌上通网络技术股份有限公司,2014,0.0
