stkcd,stock,name,year,is_crawled
835055,乐享方登,乐享方登,2016,1
833157,京冶轴承,北京京冶轴承股份有限公司,2015,1
430225,伊禾农品,上海伊禾农产品科技发展股份有限公司,2015,1
831540,京源环保,江苏京源环保股份有限公司,2014,1
430660,益佰广通,天津益佰碧源环保科技股份有限公司,2014,1
830795,骏汇股份,广东骏汇汽车科技股份有限公司,2014,1
430260,布雷尔利,布雷尔利(保定)金属家居用品股份有限公司,2012,1
831480,福生佳信,山东福生佳信科技股份有限公司,2014,1
838851,先通医药,北京先通国际医药科技股份有限公司,2015,1
833398,奥翔科技,福建奥翔体育塑胶科技股份有限公司,2015,1
430757,天翔昌运,北京天翔昌运科技股份有限公司,2016,1
430017,星昊医药,北京星昊医药股份有限公司,2014,1
430629,国科海博,成都国科海博信息技术股份有限公司,2015,1
830793,阿拉丁,上海阿拉丁生化科技股份有限公司,2014,1
832107,达能电气,辽宁达能电气股份有限公司,2014,1
430663,大陆机电,济南大陆机电股份有限公司,2016,1
832300,宏源车轮,宏源车轮,2016,1
834028,品胜股份,品胜股份,2015,1
832392,百控股份,天津百控安全科技股份有限公司,2015,1
430473,网动股份,成都网动光电子技术股份有限公司,2014,1
833638,贝斯达,深圳市贝斯达医疗股份有限公司,2015,1
833988,中成发展,江苏中成紧固技术发展股份有限公司,2015,1
430597,博安通,深圳市博安通科技股份有限公司,2016,1
430642,映翰通,北京映翰通网络技术股份有限公司,2016,1
834812,圣士达,山东圣士达机械科技股份有限公司,2015,1
832632,德安股份,德安股份,2015,1
833101,禾元生物,武汉禾元生物科技股份有限公司,2014,1
834241,天利和,山东天利和软件股份有限公司,2015,1
833857,时光科技,上海时光科技股份有限公司,2015,1
835173,蒙拓农机,呼伦贝尔市蒙拓农机科技股份有限公司,2015,1
831841,中扬科技,石家庄中扬网络科技股份有限公司,2016,1
430470,哲达科技,杭州哲达科技股份有限公司,2015,1
831373,电科电源,深圳市电科电源股份有限公司,2016,1
430201,腾实信,北京腾实信科技股份有限公司,2015,1
831022,三和视讯,郑州三和视讯技术股份有限公司,2016,1
831430,天易股份,北京天易门窗幕墙股份有限公司,2014,1
831141,风云汇,沈阳金铠建筑科技股份有限公司,2015,1
430273,永天科技,上海永天科技股份有限公司,2014,1
831620,宝信平台,湖南宝信云建筑综合服务平台股份有限公司,2014,1
831354,话机世界,话机世界通信集团股份有限公司,2015,1
430447,广信科技,湖南广信科技股份有限公司,2014,1
832183,郑州远见,郑州远见安全装备股份有限公司,2015,1
430633,卡姆医疗,上海卡姆南洋医疗器械股份有限公司,2016,1
832439,马可正嘉,北京马可正嘉汽车运动股份有限公司,2016,1
831708,吉华勘测,广州市吉华勘测股份有限公司,2016,1
832014,绿之彩,广东绿之彩印刷科技股份有限公司,2014,1
832177,晶鑫股份,江苏晶鑫新材料股份有限公司,2016,1
830830,新昶虹,江阴市新昶虹电力科技股份有限公司,2014,1
831429,创力股份,浙江创力电子股份有限公司,2014,1
831486,索尔科技,江苏索尔新能源科技股份有限公司,2016,1
831186,金鸿药业,金鸿药业股份有限公司,2015,1
830770,牛商股份,深圳市牛商网络股份有限公司,2015,1
836660,钢研功能,西安钢研功能材料股份有限公司,2015,1
834464,纽哈斯,北京纽哈斯科技股份有限公司,2016,1
430546,乐彩科技,郑州乐彩科技股份有限公司,2014,1
833665,清大天达,北京清大天达光电科技股份有限公司,2015,1
430307,扬讯科技,上海扬讯计算机科技股份有限公司,2013,1
831424,薪泽奇,江苏薪泽奇机械股份有限公司,2015,1
830931,仁会生物,上海仁会生物制药股份有限公司,2015,1
832545,三川田,广州市三川田文化科技股份有限公司,2015,1
832649,医模科技,北京医模科技股份有限公司,2015,1
430128,广厦网络,北京广厦网络技术股份公司,2015,1
834334,朔方科技,北京朔方科技发展股份有限公司,2015,1
839337,原石文化,海宁原石文化传媒股份有限公司,2015,1
831813,广新信息,广东广新信息产业股份有限公司,2014,1
430156,科曼股份,上海科曼车辆部件系统股份有限公司,2015,1
833816,志成股份,安徽省志成建设工程咨询股份有限公司,2016,1
430242,蓝贝望,北京蓝贝望生物医药科技股份有限公司,2015,1
833204,百事达,深圳市百事达卓越科技股份有限公司,2014,1
831962,尚慧能源,江苏尚慧新能源科技股份有限公司,2014,1
832003,同信通信,同信通信股份有限公司,2016,1
830765,协盛科技,天津协盛科技股份有限公司,2016,1
430645,中瑞药业,天津中瑞药业股份有限公司,2015,1
833314,中诚股份,北京中诚昊天科技股份有限公司,2016,1
831131,兴宏泰,新疆兴宏泰股份有限公司,2015,1
832595,海宝生物,大连耳东影业股份有限公司,2015,1
834815,巨东股份,浙江巨东股份有限公司,2015,1
833289,超洋股份,智慧超洋建设工程股份有限公司,2015,1
831176,天鸿股份,山东天鸿模具股份有限公司,2014,1
831396,许继智能,许昌智能继电器股份有限公司,2016,1
430711,泓源光电,泓源光电,2014,1
